year,state,st,county,FIPS,candidate,party,candidatevotes,totalvotes
2016,Alabama,AL,Autauga,1001,Hillary Clinton,democrat,5936.0,24973
2016,Alabama,AL,Autauga,1001,Donald Trump,republican,18172.0,24973
2016,Alabama,AL,Autauga,1001,Other,,865.0,24973
2016,Alabama,AL,Baldwin,1003,Hillary Clinton,democrat,18458.0,95215
2016,Alabama,AL,Baldwin,1003,Donald Trump,republican,72883.0,95215
2016,Alabama,AL,Baldwin,1003,Other,,3874.0,95215
2016,Alabama,AL,Barbour,1005,Hillary Clinton,democrat,4871.0,10469
2016,Alabama,AL,Barbour,1005,Donald Trump,republican,5454.0,10469
2016,Alabama,AL,Barbour,1005,Other,,144.0,10469
2016,Alabama,AL,Bibb,1007,Hillary Clinton,democrat,1874.0,8819
2016,Alabama,AL,Bibb,1007,Donald Trump,republican,6738.0,8819
2016,Alabama,AL,Bibb,1007,Other,,207.0,8819
2016,Alabama,AL,Blount,1009,Hillary Clinton,democrat,2156.0,25588
2016,Alabama,AL,Blount,1009,Donald Trump,republican,22859.0,25588
2016,Alabama,AL,Blount,1009,Other,,573.0,25588
2016,Alabama,AL,Bullock,1011,Hillary Clinton,democrat,3530.0,4710
2016,Alabama,AL,Bullock,1011,Donald Trump,republican,1140.0,4710
2016,Alabama,AL,Bullock,1011,Other,,40.0,4710
2016,Alabama,AL,Butler,1013,Hillary Clinton,democrat,3726.0,8732
2016,Alabama,AL,Butler,1013,Donald Trump,republican,4901.0,8732
2016,Alabama,AL,Butler,1013,Other,,105.0,8732
2016,Alabama,AL,Calhoun,1015,Hillary Clinton,democrat,13242.0,47864
2016,Alabama,AL,Calhoun,1015,Donald Trump,republican,32865.0,47864
2016,Alabama,AL,Calhoun,1015,Other,,1757.0,47864
2016,Alabama,AL,Chambers,1017,Hillary Clinton,democrat,5784.0,13900
2016,Alabama,AL,Chambers,1017,Donald Trump,republican,7843.0,13900
2016,Alabama,AL,Chambers,1017,Other,,273.0,13900
2016,Alabama,AL,Cherokee,1019,Hillary Clinton,democrat,1547.0,10733
2016,Alabama,AL,Cherokee,1019,Donald Trump,republican,8953.0,10733
2016,Alabama,AL,Cherokee,1019,Other,,233.0,10733
2016,Alabama,AL,Chilton,1021,Hillary Clinton,democrat,2911.0,18369
2016,Alabama,AL,Chilton,1021,Donald Trump,republican,15081.0,18369
2016,Alabama,AL,Chilton,1021,Other,,377.0,18369
2016,Alabama,AL,Choctaw,1023,Hillary Clinton,democrat,3109.0,7292
2016,Alabama,AL,Choctaw,1023,Donald Trump,republican,4106.0,7292
2016,Alabama,AL,Choctaw,1023,Other,,77.0,7292
2016,Alabama,AL,Clarke,1025,Hillary Clinton,democrat,5749.0,13031
2016,Alabama,AL,Clarke,1025,Donald Trump,republican,7140.0,13031
2016,Alabama,AL,Clarke,1025,Other,,142.0,13031
2016,Alabama,AL,Clay,1027,Hillary Clinton,democrat,1237.0,6624
2016,Alabama,AL,Clay,1027,Donald Trump,republican,5245.0,6624
2016,Alabama,AL,Clay,1027,Other,,142.0,6624
2016,Alabama,AL,Cleburne,1029,Hillary Clinton,democrat,684.0,6593
2016,Alabama,AL,Cleburne,1029,Donald Trump,republican,5764.0,6593
2016,Alabama,AL,Cleburne,1029,Other,,145.0,6593
2016,Alabama,AL,Coffee,1031,Hillary Clinton,democrat,4221.0,20767
2016,Alabama,AL,Coffee,1031,Donald Trump,republican,15875.0,20767
2016,Alabama,AL,Coffee,1031,Other,,671.0,20767
2016,Alabama,AL,Colbert,1033,Hillary Clinton,democrat,7312.0,24915
2016,Alabama,AL,Colbert,1033,Donald Trump,republican,16746.0,24915
2016,Alabama,AL,Colbert,1033,Other,,857.0,24915
